Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
07:00-08:30,,,07:00-08:30,,
08:00-09:30,,,08:00-09:30,,
08:00-09:40,,08:00-09:40,08:00-09:40,,
08:00-10:00,,08:00-09:00,08:00-10:00,,
08:00-10:00,,,08:00-10:00,,
08:30-10:00,,,08:30-10:00,,
10:00-11:30,,,10:00-11:30,,
10:00-11:40,,10:00-11:40,10:00-11:40,,
10:00-12:00,,,10:00-12:00,,
10:30-12:00,,,10:30-12:00,,
12:00-13:30,,,12:00-13:30,,
12:00-14:00,,12:00-13:00,12:00-14:00,,
12:00-14:00,,,12:00-14:00,,
14:00-15:30,,,14:00-15:30,,
14:00-15:40,,14:00-15:40,14:00-15:40,,
14:00-16:00,,,14:00-16:00,,
14:30-16:00,,,14:30-16:00,,
16:00-17:30,,,16:00-17:30,,
16:00-17:40,,16:00-17:40,16:00-17:40,,
16:00-18:00,,,16:00-18:00,,
16:30-18:00,,,16:30-18:00,,
18:00-19:30,,18:00-19:30,,,
18:00-19:30,,,18:00-19:30,,
18:00-20:00,,,18:00-20:00,,
,07:00-08:30,,,07:00-08:30,
,08:00-09:30,,,08:00-09:30,
,08:00-09:40,08:00-09:40,,08:00-09:40,
,08:00-10:00,08:00-09:00,,08:00-10:00,
,08:00-10:00,09:00-10:00,,08:00-10:00,
,08:00-10:00,,,08:00-10:00,
,08:00-10:00,,,,
,08:30-10:00,,,08:30-10:00,
,10:00-11:30,,,10:00-11:30,
,10:00-12:00,,,10:00-12:00,
,10:30-12:00,,,10:30-12:00,
,12:00-13:30,,,12:00-13:30,
,12:00-14:00,13:00-14:00,,12:00-14:00,
,12:00-14:00,,,12:00-14:00,
,14:00-15:30,,,14:00-15:30,
,14:00-16:00,,,14:00-16:00,
,14:20-16:00,14:20-16:00,,14:20-16:00,
,14:30-16:00,,,14:30-16:00,
,16:00-17:30,,,16:00-17:30,
,16:00-17:40,16:00-17:40,,16:00-17:40,
,16:00-18:00,,,16:00-18:00,
,16:30-18:00,,,16:30-18:00,
,17:30-18:30,,,17:30-18:30,
,18:00-19:30,,,18:00-19:30,
,18:00-20:00,,,18:00-20:00,
,,07:00-09:00,,,
,,08:00-09:00,,,
,,08:00-10:00,,,
,,08:00-11:00,,,
,,08:00-12:00,,,
,,08:00-9:00,,,
,,09:00-10:00,,,
,,10:00-12:00,,,10:00-12:00
,,10:00-12:00,,,
,,10:00-14:00,,,
,,11:00-14:00,,,
,,12:00-13:00,,,
,,12:00-14:00,,,12:00-14:00
,,12:00-14:00,,,
,,12:00-15:00,,,
,,12:00-16:00,,,
,,14:00-16:00,,,
,,14:00-17:00,,,
,,14:00-18:00,,,
,,16:00-17:00,,,
,,16:00-18:00,,,
,,16:00-19:00,,,
,,16:00-20:00,,,
,,,,08:00-10:00,
,,,,,08:00-10:00
,,,,,08:00-11:00
,,,,,08:00-12:00
,,,,,09:00-12:00
,,,,,10:00-12:00
,,,,,10:00-14:00
,,,,,12:00-14:00
,,,,,12:00-15:00
