Keycode,Name,Hours At Week
SHLI03001,Administración de Proyecto de Tesis,2
IILI06007,Análisis de Circuitos Eléctricos en Frecuencia,4
IILI06008,Análisis de Circuitos Eléctricos en Tiempo,4
IILI06018,Ciencia de Materiales para Ingeniería,4
IILI06022,Circuitos Electrónicos,4
IILI06024,Circuitos Integrados Lineales,4
IILI04029,Control Continuo,3
IILI04031,Control Discreto,3
NELI06002,Cálculo Diferencial,4
NELI06002,Cálculo Diferencial (Repetidores),4
NELI06003,Cálculo Integral,4
NELI06004,Cálculo Vectorial y Multivariable,5
SHLI03009,Desarrollo Humano y Comunicación,2
IILI04044,Diseño de Circuitos Impresos,3
NELI06005,Ecuaciones Diferenciales,4
IILI06053,Electrónica Digital,4
EALI03009,Espíritu Emprendedor,2
,FRANCES A1.1,4
,FRANCES A2.1,4
IILI06056,Fibras Ópticas,4
SHLI03019,Formación Cultural e Intercultural,2
NELI04008,Física de Semiconductores,3
,INGLÉS 1A,4
,INGLÉS 1B,4
,INGLÉS 2A,4
,INGLÉS 2B,4
,INGLÉS 3A,4
IILI06066,Informática Industrial,4
EALI03014,Ingeniería Económica,2
ACLI10001,Inmersión en el Ambiente Laboral,0
IILI06072,Instrumentación Digital,4
SHLI01041,Integración a la Vida Universitaria,1
IILI02075,Laboratorio de Mediciones,2
NELI06010,Mecánica,4
IILI06088,Microondas,4
IILI06089,Microprocesadores y Microcontroladores,4
NELI04011,Métodos Numéricos,3
IILI06093,Optoelectrónica,4
NELI06014,Probabilidad y Estadística,4
IILI06097,Procesamiento Digital de Señales,4
NELI05015,Procesos Estocásticos,4
IILI06107,Programación Orientada a Objetos,4
IILI06104,Programación en Ingeniería,4
EALI06037,Proyectos en Ingeniería,4
NELI06016,Química Universitaria,4
SHLI03062,Redacción de CV y Entrevista de Trabajo,2
IILI06110,Redes de Computadoras I,4
SHLI03063,Responsabilidad Social,2
SHLI03065,Seminario de Proyecto de Titulación,2
SHLI03065,Seminario de Proyecto deTitulación,2
IILI06115,Señales y Sistemas,4
IILI06125,Sistemas Digitales,4
IILI06126,Sistemas Electrónicos de Potencia,4
IILI06123,Sistemas de la Comunicación,4
IILI06128,Sistemas Ópticos de Comunicación,4
NELI06017,Teoría Electromagnética,4
NELI06001,Álgebra Lineal,4
NELI06013,Óptica y Acústica,4
